FILE_NAME,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,DATE-OBS,OBJECT,UT,UT-END,UT-STR,HST,HST-END,HST-STR,MJD,MJD-END,MJD-STR,FRAMEID,EXPTIME,DATA-TYP,OBSERVAT,TELESCOP,INSTRUME,TIMESYS,PROP-ID,OBSERVER,OBS-ALOC,OBS-MOD,RADESYS,LONPOLE,RA,DEC,EQUINOX,TELFOCUS,FOC-VAL,AIRMASS,ZD,AZIMUTH,ALTITUDE,FOC-POS,AUTOGUID,M2-TYPE,OUT-HUM,OUT-PRS,OUT-TMP,OUT-WND,U_CAMERA,U_AQTINT,U_AQNCYC,U_FLCOFF,U_AQSDEL,U_AQDTIM,U_HWPANG,U_NLOOPS,U_LOOPIT,U_NPOLST,U_PLSTIT,U_ORGDIR,U_OGFNAM,U_OGFNUM,U_EMGAIN,U_QWP1,U_QWP2,U_FILTER,U_MASK,U_MANGLE,U_AOHWP,D_SADC,D_SADCA1,D_SADCA2,D_SADCDC,D_SADCFC,D_SADCMD,D_SADCPA,D_SADCP,D_SADCRA,D_SADCST,D_BS1,D_BS1P,D_BS1S,D_BS2,D_BS2P,D_BS2S,D_ENSHUT,D_BNCHI,D_BNCHO,D_BNCTI,D_BNCTO,D_IMRANG,D_IMRDEC,D_IMRMOD,D_IMRPAD,D_IMRPAP,D_IMRRA,D_IMR,D_ADFG,D_DMCMTX,D_DMGAIN,D_HDFG,D_HTTG,D_LDFG,D_LOOP,D_LTTG,D_PSUBG,D_STTG,D_TTCMTX,D_TTGAIN,D_WTTG,DATE,U_FLCSTT,OG_FRMID,DETECTOR,DETGAIN,RET-ANG1,RETPLAT1,U_FLCANG,TINT,PA-STR,PA-END,PA,PARANG,WCSAXES,CRPIX1,CRPIX2,PC1_1,PC1_2,PC2_1,PC2_2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,CRVAL1,CRVAL2,LATPOLE,MJDREF,DPP_BACK,COL_METH,MAX_X,MAX_Y,MAX_PIXEL_VALUE,R_15_TOTAL_COUNTS,NORM_I,DOUBLE_DIFFERENCE,DOUBLE_SUM,Q,U,Q_sem,U_sem,POL_DEGREE,AOLP,R_15_TOTAL_COUNTS_PHOTON_NOISE,DOUBLE_DIFFERENCE_ERRS,DOUBLE_SUM_ERRS,TOTAL_I,TOTAL_I_ERR,UNNORMALIZED_DOUBLE_DIFFERENCE,UNNORMALIZED_DOUBLE_DIFFERENCE_ERRS,Q_PHOTON_NOISE,U_PHOTON_NOISE
VDATA20220128A_00000088_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:01:10.006,06:01:18.440,06:01:01.571,20:01:10.012,20:01:18.448,20:01:01.576,59607.2508045,59607.250903,59607.250706,VTMP00000088,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.669,29:23:12.76,2000.0,NS_IR,-0.12,1.022,11.83138,34.27754,78.16862,Nasmyth-IR,OFF,IR,25.2,621.7,271.75,4.4,1.0,10000.0,801.0,0.0,100000.0,10000.0,0.0,2.0,1.0,4.0,1.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.12701,145.127,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.56796,+29:23:14.50,ADI,-1.549,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:01:23,1,VMPA00016237,iXon Ultra 897 - VAMPIRES 1.0,300.0,0.0,HWP(NIR),45,8.0,-143.4732672203687,-143.7504119386983,-143.6116332857928,137.7883667142072,2,128.5,128.5,-0.74066819544718,0.67187098780422,-0.67187098780422,-0.74066819544718,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.606954166667,29.386877777778,29.386877777778,0.0,master_dark_em300_00010ms_cam1.fits,median,119.0,127.0,654.0,110614.86135593794,"(-0.05519728065249754, 0.0)",-0.0305543580870534,-0.2029389537031158,0.0,0.0,0,0,0.0,0.0,71.8472455656677,0.0002871591467489,0.0002928760208435,566456.6924539118,162.58734494384743,-17307.720622044726,162.58734494384743,0.0,0.0
VDATA20220128A_00000089_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:01:10.006,06:01:18.440,06:01:01.571,20:01:10.012,20:01:18.448,20:01:01.576,59607.2508045,59607.250903,59607.250706,VTMP00000089,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.669,29:23:12.76,2000.0,NS_IR,-0.12,1.022,11.83138,34.27754,78.16862,Nasmyth-IR,OFF,IR,25.2,621.7,271.75,4.4,1.0,10000.0,801.0,0.0,100000.0,10000.0,0.0,2.0,1.0,4.0,1.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.12701,145.127,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.56796,+29:23:14.50,ADI,-1.549,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:01:23,2,VMPA00016237,iXon Ultra 897 - VAMPIRES 1.0,300.0,0.0,HWP(NIR),45,8.0,-143.4732672203687,-143.7504119386983,-143.6116332857928,137.7883667142072,2,128.5,128.5,-0.74066819544718,0.67187098780422,-0.67187098780422,-0.74066819544718,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.606954166667,29.386877777778,29.386877777778,0.0,master_dark_em300_00010ms_cam1.fits,median,118.0,127.0,621.0,115135.42062865572,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,73.30065537484457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000090_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:01:10.006,06:01:18.440,06:01:01.571,20:01:10.012,20:01:18.448,20:01:01.576,59607.2508045,59607.250903,59607.250706,VTMP00000090,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.669,29:23:12.76,2000.0,NS_IR,-0.12,1.022,11.83138,34.27754,78.16862,Nasmyth-IR,OFF,IR,25.2,621.7,271.75,4.4,2.0,10000.0,801.0,0.0,100000.0,10000.0,0.0,2.0,1.0,4.0,1.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.12701,145.127,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.56796,+29:23:14.50,ADI,-1.549,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:01:27,1,VMPA00016239,iXon Ultra 897 - VAMPIRES 2.0,300.0,0.0,HWP(NIR),45,8.0,-143.4732672203687,-143.7504119386983,-143.6116332857928,137.7883667142072,2,128.5,128.5,-0.74066819544718,0.67187098780422,-0.67187098780422,-0.74066819544718,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.606954166667,29.386877777778,29.386877777778,0.0,master_dark_em300_00010ms_cam2.fits,median,120.0,126.0,950.0,176746.78590932256,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,90.81950818522957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000091_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:01:10.006,06:01:18.440,06:01:01.571,20:01:10.012,20:01:18.448,20:01:01.576,59607.2508045,59607.250903,59607.250706,VTMP00000091,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.669,29:23:12.76,2000.0,NS_IR,-0.12,1.022,11.83138,34.27754,78.16862,Nasmyth-IR,OFF,IR,25.2,621.7,271.75,4.4,2.0,10000.0,801.0,0.0,100000.0,10000.0,0.0,2.0,1.0,4.0,1.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.12701,145.127,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.56796,+29:23:14.50,ADI,-1.549,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:01:27,2,VMPA00016239,iXon Ultra 897 - VAMPIRES 2.0,300.0,0.0,HWP(NIR),45,8.0,-143.4732672203687,-143.7504119386983,-143.6116332857928,137.7883667142072,2,128.5,128.5,-0.74066819544718,0.67187098780422,-0.67187098780422,-0.74066819544718,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.606954166667,29.386877777778,29.386877777778,0.0,master_dark_em300_00010ms_cam2.fits,median,120.0,126.0,865.0,163959.6245599956,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,87.47256081267747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000092_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:01:41.661,06:01:50.081,06:01:33.241,20:01:41.668,20:01:50.088,20:01:33.247,59607.2511745,59607.251273,59607.251076,VTMP00000092,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.665,29:23:12.76,2000.0,NS_IR,-0.12,1.021,11.76226,33.83242,78.23774,Nasmyth-IR,OFF,IR,25.1,621.7,271.75,4.4,1.0,10000.0,801.0,0.0,100000.0,10000.0,45.0,2.0,1.0,4.0,2.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.089,145.09003,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.60649,+29:23:14.50,ADI,-2.075,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:01:54,1,VMPA00016241,iXon Ultra 897 - VAMPIRES 1.0,300.0,45.0,HWP(NIR),45,8.0,-143.9952211287614,-144.2754741353372,-144.1351402541006,137.2648597458994,2,128.5,128.5,-0.73449853272337,0.67861027506753,-0.67861027506753,-0.73449853272337,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.6069375,29.386877777778,29.386877777778,0.0,master_dark_em300_00010ms_cam1.fits,median,119.0,127.0,730.0,126941.24302109209,"(0.08996857224862131, 0.0)",0.0453296938182886,-0.2092187469992549,0.0,0.0,0,0,0.0,0.0,76.9670350410193,0.000277217317942,0.0002829290537409,608495.7038880512,168.51250769350355,27582.923946989395,168.51250769350355,0.0,0.0
VDATA20220128A_00000093_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:01:41.661,06:01:50.081,06:01:33.241,20:01:41.668,20:01:50.088,20:01:33.247,59607.2511745,59607.251273,59607.251076,VTMP00000093,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.665,29:23:12.76,2000.0,NS_IR,-0.12,1.021,11.76226,33.83242,78.23774,Nasmyth-IR,OFF,IR,25.1,621.7,271.75,4.4,1.0,10000.0,801.0,0.0,100000.0,10000.0,45.0,2.0,1.0,4.0,2.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.089,145.09003,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.60649,+29:23:14.50,ADI,-2.075,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:01:54,2,VMPA00016241,iXon Ultra 897 - VAMPIRES 1.0,300.0,45.0,HWP(NIR),45,8.0,-143.9952211287614,-144.2754741353372,-144.1351402541006,137.2648597458994,2,128.5,128.5,-0.73449853272337,0.67861027506753,-0.67861027506753,-0.73449853272337,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.6069375,29.386877777778,29.386877777778,0.0,master_dark_em300_00010ms_cam1.fits,median,119.0,127.0,713.5,113652.25456198964,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,72.82699820480464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000094_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:01:41.661,06:01:50.081,06:01:33.241,20:01:41.668,20:01:50.088,20:01:33.247,59607.2511745,59607.251273,59607.251076,VTMP00000094,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.665,29:23:12.76,2000.0,NS_IR,-0.12,1.021,11.76226,33.83242,78.23774,Nasmyth-IR,OFF,IR,25.1,621.7,271.75,4.4,2.0,10000.0,801.0,0.0,100000.0,10000.0,45.0,2.0,1.0,4.0,2.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.089,145.09003,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.60649,+29:23:14.50,ADI,-2.075,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:01:59,1,VMPA00016243,iXon Ultra 897 - VAMPIRES 2.0,300.0,45.0,HWP(NIR),45,8.0,-143.9952211287614,-144.2754741353372,-144.1351402541006,137.2648597458994,2,128.5,128.5,-0.73449853272337,0.67861027506753,-0.67861027506753,-0.73449853272337,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.6069375,29.386877777778,29.386877777778,0.0,master_dark_em300_00010ms_cam2.fits,median,120.0,127.0,1003.5,176804.13540854125,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,90.83424131536329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000095_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:01:41.661,06:01:50.081,06:01:33.241,20:01:41.668,20:01:50.088,20:01:33.247,59607.2511745,59607.251273,59607.251076,VTMP00000095,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.665,29:23:12.76,2000.0,NS_IR,-0.12,1.021,11.76226,33.83242,78.23774,Nasmyth-IR,OFF,IR,25.1,621.7,271.75,4.4,2.0,10000.0,801.0,0.0,100000.0,10000.0,45.0,2.0,1.0,4.0,2.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.089,145.09003,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.60649,+29:23:14.50,ADI,-2.075,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:01:59,2,VMPA00016243,iXon Ultra 897 - VAMPIRES 2.0,300.0,45.0,HWP(NIR),45,8.0,-143.9952211287614,-144.2754741353372,-144.1351402541006,137.2648597458994,2,128.5,128.5,-0.73449853272337,0.67861027506753,-0.67861027506753,-0.73449853272337,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.6069375,29.386877777778,29.386877777778,0.0,master_dark_em300_00010ms_cam2.fits,median,120.0,126.0,1102.0,191098.0708964282,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.4346848530101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000096_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:02:12.667,06:02:21.087,06:02:04.247,20:02:12.673,20:02:21.094,20:02:04.251,59607.2515335,59607.251632,59607.251435,VTMP00000096,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.665,29:23:12.71,2000.0,NS_IR,-0.12,1.021,11.69351,33.37896,78.30649,Nasmyth-IR,OFF,IR,24.9,621.7,271.75,4.4,1.0,10000.0,801.0,0.0,100000.0,10000.0,22.5,2.0,1.0,4.0,3.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,2,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.05299,145.05497,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.64159,+29:23:14.50,ADI,-2.574,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:02:26,1,VMPA00016245,iXon Ultra 897 - VAMPIRES 1.0,300.0,22.5,HWP(NIR),45,8.0,-144.5071409358734,-144.7904244666739,-144.6485743666435,136.7514256333565,2,128.5,128.5,-0.72838801837735,0.6851648667907,-0.6851648667907,-0.72838801837735,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.6069375,29.386863888889,29.386863888889,0.0,master_dark_em300_00010ms_cam1.fits,median,120.0,126.0,72.0,20221.5209670449,"(0.09132515840360478, 0.0)",0.0452617735408091,-0.2958427904809817,0.0,0.0,0,0,0.0,0.0,30.719227453834574,0.0006588178252966,0.0006863413409604,107737.0001268389,70.90646280006199,4876.367701707106,70.90646280006199,0.0,0.0
VDATA20220128A_00000097_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:02:12.667,06:02:21.087,06:02:04.247,20:02:12.673,20:02:21.094,20:02:04.251,59607.2515335,59607.251632,59607.251435,VTMP00000097,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.665,29:23:12.71,2000.0,NS_IR,-0.12,1.021,11.69351,33.37896,78.30649,Nasmyth-IR,OFF,IR,24.9,621.7,271.75,4.4,1.0,10000.0,801.0,0.0,100000.0,10000.0,22.5,2.0,1.0,4.0,3.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,2,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.05299,145.05497,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.64159,+29:23:14.50,ADI,-2.574,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:02:26,2,VMPA00016245,iXon Ultra 897 - VAMPIRES 1.0,300.0,22.5,HWP(NIR),45,8.0,-144.5071409358734,-144.7904244666739,-144.6485743666435,136.7514256333565,2,128.5,128.5,-0.72838801837735,0.6851648667907,-0.6851648667907,-0.72838801837735,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.6069375,29.386863888889,29.386863888889,0.0,master_dark_em300_00010ms_cam1.fits,median,122.0,127.0,71.5,17710.3717185876,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,28.748634467667745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000098_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:02:12.667,06:02:21.087,06:02:04.247,20:02:12.673,20:02:21.094,20:02:04.251,59607.2515335,59607.251632,59607.251435,VTMP00000098,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.665,29:23:12.71,2000.0,NS_IR,-0.12,1.021,11.69351,33.37896,78.30649,Nasmyth-IR,OFF,IR,24.9,621.7,271.75,4.4,2.0,10000.0,801.0,0.0,100000.0,10000.0,22.5,2.0,1.0,4.0,3.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,2,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.05299,145.05497,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.64159,+29:23:14.50,ADI,-2.574,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:02:30,1,VMPA00016247,iXon Ultra 897 - VAMPIRES 2.0,300.0,22.5,HWP(NIR),45,8.0,-144.5071409358734,-144.7904244666739,-144.6485743666435,136.7514256333565,2,128.5,128.5,-0.72838801837735,0.6851648667907,-0.6851648667907,-0.72838801837735,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.6069375,29.386863888889,29.386863888889,0.0,master_dark_em300_00010ms_cam2.fits,median,121.0,127.0,109.0,33719.9444939783,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,39.66859395361486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000099_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29333,06:02:12.667,06:02:21.087,06:02:04.247,20:02:12.673,20:02:21.094,20:02:04.251,59607.2515335,59607.251632,59607.251435,VTMP00000099,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:38:25.665,29:23:12.71,2000.0,NS_IR,-0.12,1.021,11.69351,33.37896,78.30649,Nasmyth-IR,OFF,IR,24.9,621.7,271.75,4.4,2.0,10000.0,801.0,0.0,100000.0,10000.0,22.5,2.0,1.0,4.0,3.0,/mnt/data/20220128/,HD29333_02_20220128_675-50_EmptySlot_0,2,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,147.05299,145.05497,+29:23:14,1.0,ADI,-39.0,163.025,04:38:26.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.4,0.0,103.64159,+29:23:14.50,ADI,-2.574,-39.0,04:38:25.990,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:02:30,2,VMPA00016247,iXon Ultra 897 - VAMPIRES 2.0,300.0,22.5,HWP(NIR),45,8.0,-144.5071409358734,-144.7904244666739,-144.6485743666435,136.7514256333565,2,128.5,128.5,-0.72838801837735,0.6851648667907,-0.6851648667907,-0.72838801837735,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,69.6069375,29.386863888889,29.386863888889,0.0,master_dark_em300_00010ms_cam2.fits,median,120.0,126.0,113.0,36085.162947228106,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,41.03625471998885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
